Date Time,Millis,Car,TotalDailyCars,Temp
2024-11-02 13:57:19, 54832, 1 , 58, 74
2024-11-02 13:57:20, 55333, 1 , 59, 74
2024-11-02 13:57:20, 55834, 1 , 60, 74
2024-11-02 13:57:21, 56335, 1 , 61, 74
2024-11-02 13:57:21, 56835, 1 , 62, 74
2024-11-02 13:57:22, 57337, 1 , 63, 74
2024-11-02 13:57:22, 57837, 1 , 64, 74
2024-11-02 13:57:23, 58338, 1 , 65, 74
2024-11-02 13:57:23, 58840, 1 , 66, 74
2024-11-02 13:57:24, 59330, 1 , 67, 74
2024-11-02 13:57:24, 59831, 1 , 68, 74
2024-11-02 13:57:25, 60329, 1 , 69, 74
2024-11-02 13:57:25, 60828, 1 , 70, 74
2024-11-02 14:05:57, 55192, 1 , 71, 68
2024-11-02 14:05:57, 55694, 1 , 72, 68
2024-11-02 14:06:02, 59904, 1 , 73, 68
2024-11-02 14:06:02, 60403, 1 , 74, 68
2024-11-02 14:06:03, 60902, 1 , 75, 68
2024-11-02 14:06:03, 61403, 1 , 76, 68
2024-11-02 14:06:04, 61905, 1 , 77, 68
2024-11-02 14:06:04, 62404, 1 , 78, 68
2024-11-02 14:06:05, 62904, 1 , 79, 68
2024-11-02 14:06:05, 63402, 1 , 80, 68
2024-11-02 14:06:06, 63902, 1 , 81, 68
2024-11-02 14:06:11, 69510, 1 , 82, 68
2024-11-02 14:06:16, 74411, 1 , 83, 68
2024-11-02 14:06:17, 74910, 1 , 84, 68
2024-11-02 14:06:17, 75410, 1 , 85, 68
2024-11-02 14:06:18, 75910, 1 , 86, 68
2024-11-02 14:33:20, 216554, 1 , 87, 66
2024-11-02 14:33:20, 217056, 1 , 88, 66
2024-11-02 14:33:21, 218057, 1 , 89, 66
2024-11-02 14:33:22, 218548, 1 , 90, 66
2024-11-02 14:33:22, 219051, 1 , 91, 66
2024-11-02 14:33:23, 219548, 1 , 92, 66
2024-11-02 14:34:21, 277776, 1 , 93, 66
2024-11-02 14:34:21, 278282, 1 , 94, 66
2024-11-02 14:42:28, 764735, 1 , 95, 61
2024-11-02 14:48:08, 146551, 1 , 96, 62
2024-11-02 14:48:09, 147546, 1 , 97, 62
2024-11-02 14:48:10, 148051, 1 , 98, 62
2024-11-02 15:18:50, 580344, 1 , 99, 60
2024-11-02 15:18:51, 581840, 1 , 100, 60
2024-11-02 15:18:52, 582841, 1 , 101, 60
2024-11-02 15:18:53, 583345, 1 , 102, 60
2024-11-02 15:19:04, 594191, 1 , 103, 60
2024-11-02 15:19:10, 600354, 1 , 104, 60
2024-11-02 15:19:10, 600853, 1 , 105, 60
2024-11-02 15:19:14, 604061, 1 , 106, 60
2024-11-02 15:19:14, 604567, 1 , 107, 60
2024-11-02 15:19:17, 607447, 1 , 108, 60
2024-11-02 15:19:18, 607950, 1 , 109, 60
2024-11-02 15:19:22, 611924, 1 , 110, 60
2024-11-02 15:19:22, 612424, 1 , 111, 60
2024-11-02 15:35:08, 57373, 1 , 112, 60
2024-11-02 15:35:16, 65679, 1 , 113, 60
2024-11-02 15:35:22, 71062, 1 , 114, 60
2024-11-02 15:35:30, 79742, 1 , 115, 60
2024-11-02 15:35:35, 83986, 1 , 116, 60
2024-11-02 15:35:46, 95358, 1 , 117, 60
2024-11-02 15:35:52, 101410, 1 , 118, 60
2024-11-02 15:36:54, 163748, 1 , 119, 61
2024-11-02 15:37:08, 177582, 1 , 120, 60
2024-11-02 15:37:15, 184218, 1 , 121, 60
2024-11-02 15:37:21, 190045, 1 , 122, 60
2024-11-02 15:39:33, 34951, 1 , 123, 60
2024-11-02 15:39:44, 45193, 1 , 124, 60
2024-11-02 15:40:00, 61951, 1 , 125, 60
2024-11-02 15:40:08, 69290, 1 , 126, 60
2024-11-02 15:40:13, 74327, 1 , 127, 60
2024-11-02 15:40:18, 80116, 1 , 128, 60
2024-11-02 15:43:57, 61880, 1 , 129, 59
2024-11-02 15:44:05, 70693, 1 , 130, 59
2024-11-02 15:46:17, 28482, 1 , 131, 59
2024-11-02 15:46:21, 32662, 1 , 132, 59
2024-11-02 15:46:26, 37202, 1 , 133, 59
2024-11-02 15:46:48, 59390, 1 , 134, 59
2024-11-02 15:47:28, 98931, 1 , 135, 60
2024-11-02 15:47:48, 119215, 1 , 136, 60
2024-11-02 15:47:55, 126771, 1 , 137, 60
2024-11-02 15:51:32, 93256, 1 , 138, 60
2024-11-02 15:51:37, 98824, 1 , 139, 60
2024-11-02 15:51:43, 104868, 1 , 140, 60
2024-11-02 15:51:50, 111295, 1 , 141, 60
2024-11-02 15:51:54, 115349, 1 , 142, 60
2024-11-02 15:51:59, 120301, 1 , 143, 60
2024-11-02 15:52:03, 124919, 1 , 144, 60
2024-11-02 15:52:12, 133286, 1 , 145, 60
2024-11-02 15:59:18, 164402, 1 , 146, 61
2024-11-02 16:26:03, 1768902, 1 , 147, 59
2024-11-02 16:26:12, 1778822, 1 , 148, 59
2024-11-02 16:26:18, 1784731, 1 , 149, 59
2024-11-02 16:26:21, 1787533, 1 , 150, 59
2024-11-02 16:26:31, 1797129, 1 , 151, 59
2024-11-02 16:26:35, 1801515, 1 , 152, 59
2024-11-02 16:26:46, 1812144, 1 , 153, 59
2024-11-02 16:26:55, 1821276, 1 , 154, 59
2024-11-02 16:27:05, 1831727, 1 , 155, 59
2024-11-02 16:27:25, 1850969, 1 , 156, 59
2024-11-02 16:27:33, 1859691, 1 , 157, 59
2024-11-02 16:27:56, 1882257, 1 , 158, 59
2024-11-02 16:28:08, 1894618, 1 , 159, 59
2024-11-02 16:29:50, 1996792, 1 , 160, 59
2024-11-02 16:30:05, 2011316, 1 , 161, 59
2024-11-02 16:30:22, 2028872, 1 , 162, 59
2024-11-02 16:30:47, 2053588, 1 , 163, 59
2024-11-02 16:31:19, 2085433, 1 , 164, 59
2024-11-02 16:31:23, 2089398, 1 , 165, 59
2024-11-02 16:31:29, 2095648, 1 , 166, 59
2024-11-02 16:31:47, 2113304, 1 , 167, 59
2024-11-02 16:31:53, 2119232, 1 , 168, 59
2024-11-02 16:31:58, 2124725, 1 , 169, 59
2024-11-02 16:32:25, 2151739, 1 , 170, 59
2024-11-02 16:32:29, 2155036, 1 , 171, 59
2024-11-02 16:33:34, 2219944, 1 , 172, 59
2024-11-02 16:39:15, 2561388, 1 , 173, 59
2024-11-02 16:39:29, 2575883, 1 , 174, 59
2024-11-02 16:39:40, 2586392, 1 , 175, 59
2024-11-02 16:39:50, 2596198, 1 , 176, 59
2024-11-02 16:40:11, 2617731, 1 , 177, 59
2024-11-02 16:40:24, 2630163, 1 , 178, 59
2024-11-02 16:40:38, 2643977, 1 , 179, 59
2024-11-02 16:41:09, 2675380, 1 , 180, 59
2024-11-02 17:43:25, 6411310, 1 , 1, 56
2024-11-02 17:43:37, 6423115, 1 , 2, 56
2024-11-02 18:00:06, 7412727, 1 , 3, 55
2024-11-03 09:19:15, 2989, 1 , 1, 56
2024-11-03 09:19:24, 6399, 1 , 2, 56
2024-11-03 09:19:32, 5944, 1 , 3, 56
2024-11-03 09:20:06, 9438, 1 , 4, 56
2024-11-03 09:20:12, 4282, 1 , 5, 56
2024-11-03 09:20:16, 1409, 1 , 6, 56
2024-11-03 09:20:18, 832, 1 , 7, 56
2024-11-03 09:20:20, 724, 1 , 8, 56
2024-11-03 09:20:24, 2367, 1 , 9, 56
2024-11-03 09:20:32, 1578, 1 , 10, 56
2024-11-03 09:20:55, 1614, 1 , 11, 56
2024-11-03 09:20:55, 1922, 1 , 12, 56
2024-11-03 09:21:06, 3655, 1 , 13, 56
2024-11-03 09:21:24, 2431, 1 , 14, 56
2024-11-03 09:21:34, 5150, 1 , 15, 56
2024-11-03 09:24:18, 150786, 1 , 16, 56
2024-11-03 09:24:19, 151695, 1 , 17, 56
2024-11-03 09:24:24, 156901, 1 , 18, 56
2024-11-03 09:29:23, 6140, 1 , 19, 56
2024-11-03 09:29:30, 5195, 1 , 20, 56
2024-11-03 09:29:37, 4619, 1 , 21, 55
2024-11-03 09:29:43, 4702, 1 , 22, 55
2024-11-03 09:29:50, 3488, 1 , 23, 55
2024-11-03 09:30:09, 2222, 1 , 24, 55
2024-11-03 09:30:17, 1155, 1 , 25, 55
2024-11-03 09:30:33, 2483, 1 , 26, 55
2024-11-03 09:30:46, 3074, 1 , 27, 55
2024-11-03 09:30:51, 3255, 1 , 28, 55
2024-11-03 09:30:55, 2551, 1 , 29, 55
2024-11-03 09:31:03, 2074, 1 , 30, 55
2024-11-03 09:31:07, 2887, 1 , 31, 55
2024-11-03 09:36:01, 3200, 1 , 32, 55
2024-11-03 09:36:07, 2042, 1 , 33, 55
2024-11-03 09:40:05, 6655, 1 , 34, 55
2024-11-03 09:40:09, 1730, 1 , 35, 55
2024-11-03 09:40:13, 2516, 1 , 36, 55
2024-11-03 09:40:16, 1879, 1 , 37, 55
2024-11-03 09:42:06, 5983, 1 , 38, 55
2024-11-03 09:42:15, 3724, 1 , 39, 55
2024-11-03 09:42:20, 3978, 1 , 40, 55
2024-11-03 09:42:27, 4973, 1 , 41, 55
2024-11-03 09:42:36, 7812, 1 , 42, 55
2024-11-03 09:46:37, 2777, 1 , 43, 55
2024-11-03 09:46:44, 6003, 1 , 44, 54
2024-11-03 09:46:54, 3578, 1 , 45, 55
2024-11-03 09:47:08, 5091, 1 , 46, 55
2024-11-03 09:47:50, 4723, 1 , 47, 55
2024-11-03 09:47:59, 2554, 1 , 48, 55
2024-11-03 09:48:05, 4003, 1 , 49, 55
2024-11-03 10:06:57, 3002, 1 , 50, 55
2024-11-03 10:07:03, 4403, 1 , 51, 55
2024-11-03 10:20:22, 1062, 1 , 52, 57
2024-11-03 11:08:02, 1636, 1 , 53, 63
2024-11-03 11:27:40, 2382, 1 , 54, 60
2024-11-03 11:30:37, 900, 1 , 55, 60
2024-11-03 12:19:34, 2369, 1 , 56, 62
2024-11-03 12:24:26, 5386, 1 , 57, 61
2024-11-03 12:24:40, 6566, 1 , 58, 61
2024-11-03 12:29:45, 738, 1 , 59, 61
2024-11-03 12:35:55, 300, 1 , 60, 61
